inv_index,x,y,predinstance,nn_dist_m,tile_name,note
275,416773.424038829,5346714.52451105,3394,0.006054891525729115,tile_131.laz,ok
276,416772.2961,5346713.878,3394,0.00438292155920175,tile_131.laz,ok
277,416771.9579,5346713.213,3394,0.003661967111387745,tile_131.laz,ok
278,416767.2175,5346713.675,3392,0.005590169844830697,tile_131.laz,ok
279,416765.1913,5346712.721,3392,0.0016401220494301758,tile_128.laz,ok
280,416763.6064,5346711.62,3230,0.003599999996367842,tile_128.laz,ok
281,416763.1688,5346716.251,3390,0.001562050039185636,tile_128.laz,ok
282,416758.6391,5346714.318,3388,0.0021931715364394474,tile_128.laz,ok
283,416757.6645,5346712.975,3230,0.006726811927695311,tile_128.laz,ok
284,416758.986184575,5346711.10666786,-1,0.0050656316719113765,tile_128.laz,ok
285,416757.2035,5346708.775,-1,0.006103277711503844,tile_128.laz,ok
286,416755.5785,5346708.599,3053,0.001802775739503148,tile_128.laz,ok
287,416756.8,5346706.28,3054,0.009999999776482582,tile_128.laz,ok
288,416761.6257,5346705.759,3055,0.004414748076903559,tile_128.laz,ok
289,416764.4652,5346708.665,3230,0.0069310893368008785,tile_128.laz,ok
290,416767.9502,5346708.15,3238,0.00020000000949949026,tile_131.laz,ok
291,416768.4651,5346707.143,3235,0.005745433275215416,tile_131.laz,ok
292,416767.5919,5346702.481,3056,0.0021470906747816597,tile_131.laz,ok
293,416766.4804,5346701.502,3056,0.0020396081306225168,tile_131.laz,ok
294,416776.3203,5346707.213,3396,0.0030149631770520348,tile_131.laz,ok
295,416778.5545,5346706.919,3400,0.004609772302388211,tile_131.laz,ok
296,416782.047054292,5346709.55546557,3400,0.005407241282379797,tile_131.laz,ok
297,416778.9619,5346709.786,3594,0.004428317704860571,tile_131.laz,ok
298,416772.0502,5346705.12,3398,0.00020000000949949026,tile_131.laz,ok
299,416735.036,5346708.332,2715,0.004472136115352134,tile_128.laz,ok
300,416728.3168,5346709.111,2716,0.0033526107279060495,tile_128.laz,ok
301,416729.4716,5346715.584,2871,0.00430813157474167,tile_128.laz,ok
302,416728.4633,5346721.667,2870,0.004459820315268034,tile_128.laz,ok
303,416725.0846,5346721.58,2867,0.004599999985657632,tile_128.laz,ok
304,416722.35040615,5346723.90940275,2863,0.0007222638058850825,tile_128.laz,ok
305,416719.8006,5346726.576,2861,0.004044749414837264,tile_128.laz,ok
306,416719.7724,5346727.231,2868,0.002599999702607306,tile_128.laz,ok
307,416718.978981943,5346721.61016857,2865,0.001031918448059698,tile_128.laz,ok
308,416719.741996328,5346720.67366482,2709,0.004173276228219806,tile_128.laz,ok
309,416718.2429,5346718.644,2710,0.004940648274154661,tile_128.laz,ok
310,416722.6346,5346719.963,2710,0.00549181234370589,tile_128.laz,ok
311,416689.8782,5346653.471,1504,0.00205912613165427,tile_101.laz,ok
312,416687.4291,5346647.879,1372,0.0013453625162006169,tile_101.laz,ok
313,416686.0349,5346648.616,1372,0.006325345665947081,tile_101.laz,ok
314,416684.9724,5346651.858,1369,0.003124100078371272,tile_101.laz,ok
315,416685.388,5346653.496,1369,0.006324555381447596,tile_101.laz,ok
316,416682.503404002,5346656.05100302,1365,0.0035487011145665464,tile_101.laz,ok
317,416678.949674425,5346650.24731787,1228,0.002701817837971843,tile_101.laz,ok
318,416679.7233,5346648.848,1226,0.016819334130295658,tile_101.laz,ok
319,416678.848316086,5346650.05184107,1228,0.011650125919557235,tile_101.laz,ok
320,416679.1365,5346651.196,1228,0.005315072693383873,tile_101.laz,ok
321,416677.2768,5346650.127,1228,0.00975909845568508,tile_101.laz,ok
322,416676.5352,5346649.644,1228,0.006248200201458904,tile_101.laz,ok
323,416675.172094731,5346652.33207818,1228,0.008173867545414666,tile_101.laz,ok
324,416673.9455,5346653.861,1225,0.004609772100356038,tile_101.laz,ok
325,416673.2379,5346650.499,1225,0.016352675576511863,tile_101.laz,ok
326,416707.1265,5346675.98,1974,0.006500000017695129,tile_101.laz,ok
